Player,Team,Level,Position,Throws,Age,Year,AB Before Surgery,IP Before Surgery,G Before Surgery
Akil Baddoo,MIN,A+,OF,L,20,2019,862,0,233
Miguel Mercedes,OAK,A,3B,R,23,2019,1376,0,392
Trevor Bettencourt,PHI,AA,RP,R,24,2019,0,226.3,150
Dantel Ramirez,MIL,Rk,RP,R,20,2019,0,33.2,19
Duncan Robinson,CHC,AAA,SP,R,25,2019,26,533,118
Tyler Wells,MIN,AA,SP,R,24,2019,0,459.3,88
John Fasola,STL,AA,RP,R,27,2019,0,236.6,184
Ryan Boldt,TB,AA,OF,R,24,2019,1747,0,446
Tate Budnick,MIL,Rk,RP,R,23,2019,189,185.6,137
Carlos Rodon,CHW,MLB,SP,L,26,2019,10,529,93
Lenny Torres,CLE,Rk,SP,R,18,2019,0,15.3,6
Cole Ragans,TEX,A-,SP,L,21,2019,0,65,17
Zach Pop,BAL,AA,RP,R,22,2019,0,236.6,127
Kyle Young,PHI,A+,SP,L,21,2019,0,172.3,39
Sahid Valenzuela,OAK,Coll,SS,R,21,2019,728,0,182
Jake Thompson,BOS,A+,SP,R,24,2019,28,116.3,30
Sean Mooney,MIN,Coll,SP,R,21,2019,0,244.2,41
Trey Benton,CLE,Coll,RP,R,21,2019,0,187,58
Ben Brown,PHI,A,RP,R,19,2019,0,84.3,26
Nolan Hoffman,SEA,A,RP,R,21,2019,0,88.3,63
Jamal Wade,SEA,A,RP,R,23,2019,200,85.2,63
Owen White,TEX,HS,RP,R,19,2019,0,0,0
Anderson Espinoza,SD,A,SP,R,21,2019,0,166.6,40
A.J. Ladwig,DET,AA,SP,R,26,2019,0,848.6,162
Mason Englert,TEX,HS,SP,R,19,2019,0,0,0
Corey Black,CHC,Rk,RP,R,27,2019,37,534,201
Hunter Greene,CIN,A,SP,R,19,2019,30,72.6,21
Ryan Dease,TEX,A-,SP,R,20,2019,0,142.3,37
Corey Knebel,MIL,MLB,RP,R,27,2019,0,223,224
Jack DeGroat,CLE,Coll,RP,R,22,2019,0,124.3,50
Davis Daniel,LAA,Coll,SP,R,22,2019,0,170,45
Braydon Fisher,LAD,Rk,SP,R,19,2019,0,22,11
Matt Sauer,NYY,A,SP,R,20,2019,0,87.3,21
Michael Fulmer,DET,MLB,SP,R,26,2019,13,456,75
Brady Puckett,MIA,A+,SP,R,23,2019,0,506,88
Preston Gainey,MIL,AA,RP,R,27,2018,2,431,144
Ryan Brinley,WAS,AA,RP,R,26,2019,110,208.3,147
Dane Dunning,CHW,AA,SP,R,24,2019,0,34,7
Silvino Bracho,ARI,MLB,RP,R,26,2019,1,88.6,91
Drew Smith,NYM,MLB,RP,R,25,2019,0,28,27
Mark Leiter Jr.,TOR,MLB,RP,R,28,2019,28,114,47
Salvador Perez,KC,MLB,C,R,29,2019,3537,0,942
Trey Cobb,NYM,A+,RP,R,25,2019,0,279.3,154
Billy Sullivan,PHI,Coll,SP,R,20,2019,0,77.3,16
Chris Smith,DET,AAA,RP,R,30,2019,0,220,192
Spencer Strider,ATL,Coll,RP,R,20,2019,0,77.6,28
Graham Hoffman,BOS,Coll,RP,R,20,2019,30,15.3,13
Roniel Raudes,BOS,A+,SP,R,21,2019,0,357,73
Sal Giardina,ATL,AAA,C,R,27,2019,1138,7.1,364
Jerry Vasto,CHC,MLB,RP,L,27,2019,0,211,186
Peter Solomon,HOU,A+,SP,R,22,2019,0,273.3,85
Noah Bryant,KC,Rk,RP,R,20,2019,0,21.33,18
Stephen Greenlees,KC,Rk,RP,L,23,2019,0,43.3,25
Garrett Davila,KC,A,SP,L,22,2019,0,297.6,64
Ashe Russell,KC,Rk,SP,R,22,2019,0,38.3,13
Nolan Watson,KC,A+,SP,R,22,2019,0,340,82
Braidyn Fink,LAD,Coll,RP,L,21,2019,0,62.6,69
Carlos Suniaga,MIN,A,RP,R,22,2019,0,283,109
Michael Montero,MIN,Rk,SP,R,19,2019,0,92,25
Mason Feole,SD,Coll,SP,L,21,2019,0,291,55
Max Roberts,SEA,A-,SP,L,21,2019,0,66.6,20
Levi Stoudt,SEA,Coll,SP,R,21,2019,0,216,43
Lance McCullers Jr.,HOU,MLB,SP,R,24,2018,10,720.6,152
Franklyn Kilome,NYM,AA,SP,R,23,2018,0,472.3,95
Didi Gregorius,NYY,MLB,SS,R,28,2018,2772,0,769
Edgar Santana,PIT,MLB,RP,R,26,2018,4,284,210
Carson Ragsdale,PHI,Coll,RP,R,20,2018,61,57.6,43
Kale Emshoff,KC,Coll,C,R,20,2018,308,0,95
Shohei Ohtani,LAA,MLB,SP,R,23,2018,1752,618.3,102
Tylor Fischer,KC,HS,RP,R,20,2018,0,0,0
Chad Kuhl,PIT,MLB,SP,R,25,2018,92,756.6,187
Michael Kopech,CHW,MLB,SP,R,22,2018,0,410,89
Quintin Torres-Costa,MIL,AAA,RP,L,23,2018,3,313.3,199
Jose Mujica,TB,AAA,SP,R,22,2018,0,453.3,90
